term,subject,course_number,crn,title,restrictions
202631,PHAR,878,31895,APPE: COMMUNITY PRACTICE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,879,22501,APPE:HOSPITAL/HLTH SYS PHARM,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,879,31896,APPE:HOSPITAL/HLTH SYS PHARM,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,879,31897,APPE:HOSPITAL/HLTH SYS PHARM,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,879,31898,APPE:HOSPITAL/HLTH SYS PHARM,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,879,31899,APPE:HOSPITAL/HLTH SYS PHARM,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,879,31900,APPE:HOSPITAL/HLTH SYS PHARM,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,899,52687,APPE:  SPECIALITY PHARM PRAC,"Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy | Must be enrolled in one of the following Classifications: Pharmacy, Fourth Year"
202631,PHAR,899,59639,APPE:  SPECIALITY PHARM PRAC,"Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy | Must be enrolled in one of the following Classifications: Pharmacy, Fourth Year"
202631,PHEB,602,22028,BIOSTATISTICS I,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,602,25010,BIOSTATISTICS I,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,605,42610,EPIDEMIOLOGIC METHODS I,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,605,42611,EPIDEMIOLOGIC METHODS I,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,606,59328,SURVIVAL ANALYSIS,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,609,25496,CATEGORICAL DATA ANALYSIS,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,609,47152,CATEGORICAL DATA ANALYSIS,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,617,62848,RES INTEG TRANSPRNCY & REPROD,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
